S1,Rate,S2
0.008379888268156398,0.0769230769230769,1.5
0.01906888850712931,0.158458244111349,1.5
0.02552883621580642,0.2006498781478473,1.5
0.02985503911642882,0.2264397905759162,1.5
0.032954825968896484,0.2438356164383561,1.5
0.03528496065035122,0.2563619227144203,1.5
0.037100434665538244,0.2658123191401406,1.5
0.03855480116391841,0.2731958762886597,1.5
0.0397460537509057,0.2791237968801858,1.5
0.040739670615428956,0.2839879154078549,1.5
0.04158106774098865,0.2880510119212642,1.5
0.042302735923869815,0.2914959016393442,1.5
0.04292853341970698,0.2944537014996429,1.5
0.04347637436542703,0.2970208981769675,1.5
0.04395997140814856,0.2992700729927007,1.5
0.0443899992283354,0.3012568735271013,1.5
0.04477489169576092,0.3030246799035071,1.5
0.04512140053492642,0.3046078086528315,1.5
0.04543499478899554,0.3060337623265919,1.5
0.04572015161086532,0.3073248407643312,1.5
0.04598057137677186,0.308499315797476,1.5
0.04621933914453562,0.3095723014256619,1.5
0.0464390474469288,0.3105564077534514,1.5
0.046641890807977315,0.3114622388859132,1.5
0.04682973929835781,0.3122987765614939,1.5
0.04700419635984338,0.3130736789878441,1.5
0.04716664468873193,0.3137935159708099,1.5
0.04731828295939127,0.3144639556377079,1.5
0.047460155452617864,0.3150899139953088,1.5
0.04759317613821535,0.3156756756756756,1.5
0.047718148386212585,0.316224992144129,1.5
0.047835781205252656,0.3167411621292157,1.5
0.04794670270162815,0.3172270979193373,1.5
0.04805147129856796,0.3176853803410615,1.5
0.04815058513888202,0.3181183046110852,1.5
0.048244490005125255,0.3185279187817258,1.5
0.048333586022991495,0.318916056139112,1.5
0.04841823336057988,0.3192843626354721,1.5
0.048498757094740504,0.3196343202214208,1.5
0.048575451383137055,0.3199672667757774,1.5
0.04864858305490586,0.3202844131980506,1.5
0.04871839471229082,0.3205868581239269,1.5
0.04878510741923239,0.3208756006406834,1.5
0.04884892303968998,0.3211515513126491,1.5
0.04891002627780429,0.3214155417730755,1.5
0.04896858646333133,0.3216683330952721,1.5
0.049024759118697275,0.3219106231204979,1.5
0.04907868733821336,0.322143052891203,1.5
0.04913050300520519,0.3223662123145102,1.5
0.049180327868852236,0.3225806451612902,1.5
0.00914634146341467,0.0833333333333333,1.5
0.023561876459350387,0.188295165394402,1.5
0.03428016284233892,0.2510162601626016,1.5
0.04256191569624395,0.2927241962774958,1.5
0.049153166421207456,0.322463768115942,1.5
0.054523586796739146,0.3447401774397972,1.5
0.05898361056751452,0.3620495495495495,1.5
0.06274664561957363,0.375886524822695,1.5
0.06596423342397098,0.3872007366482504,1.5
0.06874695270599704,0.3966244725738396,1.5
0.07117738399707693,0.404595015576324,1.5
0.07331844343269459,0.4114244396240057,1.5
0.07521890708610329,0.4173414304993252,1.5
0.07691717202732766,0.4225173940543959,1.5
0.07844387755102016,0.4270833333333332,1.5
0.07982377020745142,0.4311410905002811,1.5
0.08107705547464562,0.4347710330138444,1.5
0.08222039369580332,0.438037430450177,1.5
0.08326764491874823,0.4409922928709055,1.5
0.08423043351760232,0.4436781609195402,1.5
0.08511858149681309,0.4461301671064203,1.5
0.08594044477949543,0.4483775811209439,1.5
0.08670317691029915,0.4504449838187702,1.5
0.08741293781630496,0.4523531699727732,1.5
0.08807506053268749,0.4541198501872659,1.5
0.08869418544721902,0.4557602022390754,1.5
0.08927436921401322,0.4572873082287308,1.5
0.0898191737427954,0.4587125042130098,1.5
0.09033173939031662,0.4600456621004566,1.5
0.09081484553182649,0.4612954186413903,1.5
0.09127096098032865,0.462469362745098,1.5
0.09170228618485532,0.4635741897115671,1.5
0.09211078873024332,0.4646158290005777,1.5
0.09249823334697041,0.465599550688009,1.5
0.092866207396664,0.4665300546448087,1.5
0.0932161426095566,0.4674115456238362,1.5
0.09354933370158089,0.4682477967858994,1.5
0.09386695438146911,0.4690422036896639,1.5
0.09417007116499711,0.4697978303747534,1.5
0.09445965533902377,0.470517448856799,1.5
0.09473659335811933,0.4712035731076633,1.5
0.09500169590823569,0.4718584883988054,1.5
0.09525570583262864,0.4724842767295597,1.5
0.09549930508324189,0.4730828389364974,1.5
0.09573312083454048,0.4736559139784946,1.5
0.09595773087520924,0.4742050958096441,1.5
0.09617366837530102,0.4747318481848184,1.5
0.09638142611166937,0.4752375176874873,1.5
0.0965814602220888,0.4757233452239398,1.5
0.09677419354838555,0.4761904761904761,1.5
0.009584664536741186,0.0869565217391304,1.5
0.026708373435996073,0.2078651685393258,1.5
0.04137122438724794,0.2870424171993027,1.5
0.05406813209709333,0.3429137760158573,1.5
0.0651696363192601,0.3844492440604751,1.5
0.07495866250229635,0.4165390505359877,1.5
0.08365497202827507,0.4420763148848401,1.5
0.09143185738930393,0.4628820960698689,1.5
0.09842780790387362,0.4801598629745932,1.5
0.10475482912332813,0.4947368421052631,1.5
0.11050448470237857,0.5072003905296558,1.5
0.11575235641147269,0.5179790623577606,1.5
0.12056138527013387,0.527392879982946,1.5
0.1249844081327177,0.5356856455493184,1.5
0.12906610703042995,0.543046357615894,1.5
0.13284452398822208,0.5496237907560013,1.5
0.1363522502713682,0.5555366558938595,1.5
0.13961736887360232,0.5608808290155439,1.5
0.14266420798379306,0.5657345898346979,1.5
0.14551394822819763,0.5701624815361891,1.5
0.14818511575820942,0.5742181972548465,1.5
0.1506939854593508,0.5779467680608364,1.5
0.1530549128313185,0.5813862420049603,1.5
0.1552806088388396,0.5845689871827092,1.5
0.15738236884801687,0.5875227135069654,1.5
0.15937026435426802,0.5902712815715622,1.5
0.1612533043709909,0.5928353486269635,1.5
